Date,Time,Wind Generation
09/01/2014,15,2074.4
09/01/2014,16,2017.9
09/01/2014,17,2037.2
09/01/2014,18,1931.4
09/01/2014,19,2136.8
09/01/2014,20,2603
09/01/2014,21,2800
09/01/2014,22,2816.2
09/01/2014,23,2624.7
09/01/2014,24,2500.1
10/01/2014,1,2351.1
10/01/2014,2,2191.8
10/01/2014,3,2061
10/01/2014,4,2012.2
10/01/2014,5,1955.6
10/01/2014,6,1917.9
10/01/2014,7,1883.2
10/01/2014,8,1822.8
10/01/2014,9,1813.2
10/01/2014,10,1730.4
10/01/2014,11,1745.6
10/01/2014,12,1819.6
10/01/2014,13,1932.5
10/01/2014,14,1952.4
10/01/2014,15,1864.7
10/01/2014,16,1757.4
10/01/2014,17,1701.5
10/01/2014,18,1668.3
10/01/2014,19,1715.1
10/01/2014,20,1618.5
10/01/2014,21,1520.5
10/01/2014,22,1547.6
10/01/2014,23,1541.6
10/01/2014,24,1513.2
11/01/2014,1,1508
11/01/2014,2,1489.7
11/01/2014,3,1483.8
11/01/2014,4,1474.9
11/01/2014,5,1481.2
11/01/2014,6,1439.6
11/01/2014,7,1428.7
11/01/2014,8,1399.7
11/01/2014,9,1408
11/01/2014,10,1414.1
11/01/2014,11,1362.8
11/01/2014,12,1135.7
11/01/2014,13,1128.2
11/01/2014,14,1261.3
11/01/2014,15,1328.3
11/01/2014,16,1411.2
11/01/2014,17,1531.7
11/01/2014,18,1748
11/01/2014,19,1956.5
11/01/2014,20,2040.7
11/01/2014,21,2257.3
11/01/2014,22,2414.7
11/01/2014,23,2514.7
11/01/2014,24,2510.7
12/01/2014,1,2357.6
12/01/2014,2,2394.3
12/01/2014,3,2415.2
12/01/2014,4,2424.8
12/01/2014,5,2418.6
12/01/2014,6,2490.9
12/01/2014,7,2575.1
12/01/2014,8,2590.2
12/01/2014,9,2557.2
12/01/2014,10,2515.7
12/01/2014,11,2406.7
12/01/2014,12,2103.7
12/01/2014,13,1938.9
12/01/2014,14,1792.2
12/01/2014,15,1572
12/01/2014,16,1142.9
12/01/2014,17,747.5
12/01/2014,18,592.9
12/01/2014,19,397.1
12/01/2014,20,311.3
12/01/2014,21,225.8
12/01/2014,22,187.3
12/01/2014,23,190.4
12/01/2014,24,257.1
13/01/2014,1,417.7
13/01/2014,2,645.2
13/01/2014,3,746.2
13/01/2014,4,815.1
13/01/2014,5,992.8
13/01/2014,6,1208.1
13/01/2014,7,1521.6
13/01/2014,8,1839.5
13/01/2014,9,2081.4
13/01/2014,10,2197.7
13/01/2014,11,2192.2
13/01/2014,12,2120.6
13/01/2014,13,1989.6
13/01/2014,14,1874.7
13/01/2014,15,1704.3
13/01/2014,16,1460
13/01/2014,17,1259.1
13/01/2014,18,1062.7
13/01/2014,19,891.6
13/01/2014,20,762.3
13/01/2014,21,631.1
13/01/2014,22,513
13/01/2014,23,417.8
13/01/2014,24,367.5
14/01/2014,1,311.4
14/01/2014,2,217.1
14/01/2014,3,160.8
14/01/2014,4,150.7
14/01/2014,5,131.6
14/01/2014,6,108.8
14/01/2014,7,96.5
14/01/2014,8,83.6
14/01/2014,9,73
14/01/2014,10,71.3
14/01/2014,11,63.1
14/01/2014,12,46.8
14/01/2014,13,32
14/01/2014,14,34.8
14/01/2014,15,37.5
14/01/2014,16,55.9
14/01/2014,17,94.3
14/01/2014,18,138.1
14/01/2014,19,156
14/01/2014,20,172.7
14/01/2014,21,228.6
14/01/2014,22,257
14/01/2014,23,279.4
14/01/2014,24,321.3
15/01/2014,1,345.9
15/01/2014,2,377
15/01/2014,3,423.4
15/01/2014,4,508.9
15/01/2014,5,586.2
15/01/2014,6,660.5
15/01/2014,7,706.6
15/01/2014,8,762.8
15/01/2014,9,800.8
15/01/2014,10,835.4
15/01/2014,11,871.5
15/01/2014,12,874.9
15/01/2014,13,854.3
15/01/2014,14,880.6
15/01/2014,15,956.7
15/01/2014,16,1012.8
15/01/2014,17,1069
15/01/2014,18,1136.2
15/01/2014,19,1283.6
15/01/2014,20,1357.5
15/01/2014,21,1465.1
15/01/2014,22,1555
15/01/2014,23,1642.5
15/01/2014,24,1700.9
16/01/2014,1,1747.7
16/01/2014,2,1844.1
16/01/2014,3,1892.6
16/01/2014,4,1967.8
16/01/2014,5,2009.4
16/01/2014,6,1985.2
16/01/2014,7,2006.6
16/01/2014,8,2076.8
16/01/2014,9,2179.3
16/01/2014,10,2250
16/01/2014,11,2328.3
16/01/2014,12,2361.5
16/01/2014,13,2368.3
16/01/2014,14,2401.6
16/01/2014,15,2462.7
16/01/2014,16,2534.5
16/01/2014,17,2582.5
16/01/2014,18,2646
16/01/2014,19,2707
16/01/2014,20,2753.1
16/01/2014,21,2801.1
16/01/2014,22,2846.4
16/01/2014,23,2837.8
16/01/2014,24,2700.1
17/01/2014,1,2431.2
17/01/2014,2,2197.9
17/01/2014,3,2020.9
17/01/2014,4,1884.9
17/01/2014,5,1749.1
17/01/2014,6,1644.8
17/01/2014,7,1587.1
17/01/2014,8,1555.8
17/01/2014,9,1539.5
17/01/2014,10,1541.3
17/01/2014,11,1557.8
17/01/2014,12,1576.6
17/01/2014,13,1626.3
17/01/2014,14,1656.6
17/01/2014,15,1683.6
17/01/2014,16,1680
17/01/2014,17,1672
17/01/2014,18,1675.6
17/01/2014,19,1701.3
17/01/2014,20,1710.3
17/01/2014,21,1747.6
17/01/2014,22,1744.9
17/01/2014,23,1760.1
17/01/2014,24,1799.3
18/01/2014,1,1844.4
18/01/2014,2,1883.9
18/01/2014,3,1917.5
18/01/2014,4,1938
18/01/2014,5,1981.8
18/01/2014,6,2014.9
18/01/2014,7,2021.8
18/01/2014,8,2073.1
18/01/2014,9,2098.6
18/01/2014,10,2125.9
18/01/2014,11,2141.5
18/01/2014,12,2150.4
18/01/2014,13,2149.6
18/01/2014,14,2223.6
18/01/2014,15,2293.8
18/01/2014,16,2349
18/01/2014,17,2427
18/01/2014,18,2535.1
18/01/2014,19,2642.6
18/01/2014,20,2684.3
18/01/2014,21,2733.3
18/01/2014,22,2774.3
18/01/2014,23,2845.6
18/01/2014,24,2884.5
19/01/2014,1,2906.9
19/01/2014,2,2945
19/01/2014,3,2988.5
19/01/2014,4,3040
19/01/2014,5,3092.1
19/01/2014,6,3117
